,Average(A)
325,1.998985
912,0.5589843
1697,1.874753
2691,1.967769
3593,1.919433
4444,1.164758
5226,1.988485
6261,1.986073
7199,1.915038
7574,1.419515
8551,1.994722
9524,1.812587
10532,1.991393
11545,1.990017
12586,1.237122
14521,1.446507
15582,1.9243
16647,1.371948
18548,0.6876085
19589,1.341754
20523,0.8721406
21426,0.8306742
26009,0.5149632
46542,0.8771937
47481,1.431365
48402,1.081684
56771,0.953985
57708,1.587385
58624,1.284012
59523,0.6760001
66971,1.194524
67907,1.888213
68826,1.649997
69721,0.8509361
77216,0.8737556
78152,1.599248
79067,1.432548
79963,0.8323724
87433,1.049306
88376,1.85743
89296,1.682738
90196,0.8795854
93854,1.520824
94889,1.984139
95850,1.968689
96772,1.955391
97662,1.967979
98587,1.059293
99580,0.5166035
101943,1.280916
102866,1.92364
103782,1.871887
104716,1.545607
105636,1.808684
106544,1.663608
107453,1.093874
108362,0.539529
112061,0.631572
113073,1.209953
114018,0.992206
114925,0.8803861
115851,1.347753
116777,1.411301
117683,0.8546641
121033,0.5128981
123321,1.216751
124270,1.148239
